English,Korean
Hello,안녕하세요
Goodbye,안녕히 가세요
Please,제발
No,아니요
Friend,친구
Family,가족
Love,사랑
Happiness,행복
Sadness,슬픔
House,집
Water,물
Phone,전화기
Computer,컴퓨터
Book,책
Music,음악
Movie,영화
Teacher,선생님
Student,학생
Doctor,의사
Nurse,간호사
Hospital,병원
School,학교
University,대학교
City,도시
Mountain,산
River,강
Forest,숲
Weather,날씨
Summer,여름
Winter,겨울
Spring,봄
Autumn,가을
Day,낮
Night,밤
Evening,저녁
Week,주
Month,월
Year,년
Time,시간
Minute,분
Second,초
Child,아이
Parent,부모
Brother,형제
Sister,자매
Dog,개
Cat,고양이
Bird,새
Fish,물고기
Tree,나무
Flower,꽃
Sky,하늘
Star,별
Moon,달
Earth,지구
Fire,불
Air,공기
Space,우주
Game,게임
Sport,스포츠
Art,예술
History,역사
Science,과학
Math,수학
Language,언어
Health,건강
Beauty,미
Money,돈
Work,일
Office,사무실
Shop,가게
Restaurant,식당
Airport,공항
Bus,버스
Taxi,택시
Bicycle,자전거
Road,도로
Bridge,다리
Building,건물
Room,방
Door,문
Window,창문
Chair,의자
Table,탁자
Bed,침대
Bag,가방
Pen,펜
Paper,종이
